,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
37,Nicolas Batum,LAC,G-F,33,21,25.3,52.7,12.5,11.9,12,0.5,27,0.815,101,0.396,0.641,0.638,8.1,4.4,9.1,1.5,8.7,1.05,0.76,0.86,6.0,116.2,104.9
38,Kent Bazemore,LAL,G-F,32,23,17.4,36.3,12.2,7.0,13,0.769,47,0.319,53,0.34,0.42,0.445,4.1,2.0,6.1,0.8,6.2,0.83,0.26,0.35,4.3,94.8,100.4
39,Darius Bazley,OKC,F-G,21,33,26.5,55.1,17.8,13.1,69,0.623,169,0.45,113,0.274,0.434,0.461,8.7,6.3,12.1,1.2,7.1,0.79,1.24,1.42,6.1,90.3,107.6
40,Bradley Beal,WAS,G,28,33,36.0,75.0,31.5,13.3,165,0.842,476,0.523,181,0.293,0.5,0.546,24.1,4.6,7.0,6.4,30.8,0.91,0.33,3.39,9.9,106.2,109.3
41,Malik Beasley,MIN,G,25,39,27.3,56.9,20.3,6.4,25,0.72,129,0.457,343,0.335,0.49,0.498,12.3,3.2,6.2,1.7,9.4,0.64,0.13,0.85,5.9,102.3,110.6
42,DeAndre' Bembry,BKN,G-F,27,33,19.9,41.5,11.6,12.5,26,0.577,116,0.629,26,0.462,0.641,0.642,6.0,3.3,8.7,1.3,8.9,0.94,0.58,0.67,5.9,121.5,99.9
43,Davis Bertans,WAS,F,29,26,16.1,33.6,17.8,7.1,28,0.929,25,0.48,119,0.336,0.5,0.544,6.5,1.9,6.4,0.6,5.1,0.42,0.12,0.46,4.8,106.5,105.0
44,Patrick Beverley,MIN,G,33,27,26.7,55.6,15.4,12.4,47,0.702,102,0.529,110,0.327,0.509,0.535,9.2,4.6,9.0,5.2,28.1,1.04,0.89,1.22,9.0,120.1,101.2
45,Saddiq Bey,DET,F,22,38,33.7,70.1,21.0,8.9,106,0.83,258,0.422,266,0.323,0.454,0.494,14.8,6.3,10.1,2.5,12.3,0.97,0.16,1.47,7.3,101.7,109.9
46,Khem Birch,TOR,C,29,20,21.6,45.0,12.2,11.3,37,0.73,87,0.54,7,0.0,0.5,0.549,6.1,5.4,13.5,1.3,7.9,0.85,0.55,0.7,6.5,123.9,106.1
47,Goga Bitadze,IND,C-F,22,21,8.1,16.8,19.2,10.7,18,0.611,31,0.484,28,0.143,0.356,0.396,2.5,2.2,15.0,0.1,2.5,0.48,0.52,0.38,4.0,91.2,92.4
